N,CL90,CL95,CL99
3,0.941,0.97,0.994
4,0.765,0.829,0.926
5,0.642,0.71,0.821
6,0.560,0.625,0.740
7,0.507,0.568,0.68
8,0.468,0.526,0.634
9,0.437,0.493,0.598
10,0.412,0.466,0.568
